customer_id,id_type,id_number,verification_date,expiry_date,verification_method
C096,Passport,P9833734,2015-06-07,2023-10-01,Manual
C096,Driver License,DL-237414-T,2025-09-29,2035-09-03,KYC_API
C097,Passport,P3777286,2025-10-15,2026-03-25,In-branch
C098,National ID,NID58895439,2024-02-10,2031-09-18,In-branch
C099,Driver License,DL-398768-Y,2025-07-30,2025-12-13,In-branch
C100,National ID,NID42100652,2016-12-18,2023-12-15,KYC_API
C100,National ID,NID59370777,2024-12-13,2030-02-14,In-branch
C101,Driver License,DL-906814-J,2015-09-22,2023-11-25,KYC_API
C102,Driver License,DL-269930-G,2021-05-25,2029-02-01,In-branch
C103,Passport,P9062973,2016-11-15,2021-02-28,KYC_API
C103,Driver License,DL-845957-Q,2024-11-27,2029-01-20,Manual
C104,National ID,NID46613428,2026-01-04,2030-10-21,KYC_API
C105,Driver License,DL-196168-H,2023-07-13,2031-06-07,KYC_API
C106,National ID,NID17148018,2026-03-03,2033-10-26,KYC_API
C107,Driver License,DL-504924-C,2016-03-07,2021-07-01,KYC_API
C107,Passport,P2662338,2026-03-06,2032-09-30,In-branch
C108,Driver License,DL-140163-J,2022-06-23,2025-10-21,KYC_API
C109,Driver License,DL-895702-W,2019-09-11,2024-03-31,KYC_API
C110,National ID,NID20633503,2020-11-26,2023-12-17,Manual
C111,National ID,NID83659258,2023-02-23,2027-10-27,In-branch
C112,Driver License,DL-216587-Y,2021-05-25,2029-02-20,KYC_API
C113,Passport,P1801102,2025-05-26,2029-10-06,Manual
C114,National ID,NID71352751,2020-10-09,2030-10-03,Manual
C115,Passport,P9993490,2019-08-31,2028-04-07,Manual
C116,Driver License,DL-353690-W,2015-05-22,2022-08-10,Manual
C116,National ID,NID92518345,2025-08-13,2028-08-18,KYC_API
C117,Passport,P4142605,2015-01-29,2021-05-30,In-branch
C117,Driver License,DL-478120-C,2026-02-05,2034-12-19,In-branch
C118,Driver License,DL-681070-A,2021-07-05,2030-03-14,KYC_API
C119,National ID,NID60103798,2024-02-10,2031-06-12,KYC_API
C120,Driver License,DL-926823-C,2024-04-06,2031-04-07,KYC_API
C5001,National ID,ID-5001-1,2023-04-05,2025-06-13,KYC_API
C5001,National ID,ID-5001-2,2026-02-28,2032-11-03,In-branch
C5002,Passport,ID-5002-1,2023-04-05,2025-06-13,Manual
C5002,Driver License,ID-5002-2,2026-02-28,2032-11-03,Manual
C5003,State ID,ID-5003-1,2023-04-05,2025-06-13,KYC_API
C5003,State ID,ID-5003-2,2026-02-28,2032-11-03,Manual
C5004,National ID,ID-5004-1,2023-04-05,2025-06-13,In-branch
C5004,National ID,ID-5004-2,2026-02-28,2032-11-03,In-branch
C5005,Passport,ID-5005-1,2023-04-05,2025-06-13,In-branch
C5005,Passport,ID-5005-2,2026-02-28,2032-11-03,Manual
C5006,Passport,ID-5006-1,2023-04-05,2025-06-13,KYC_API
C5006,Passport,ID-5006-2,2026-02-28,2032-11-03,KYC_API
C5007,Passport,ID-5007-1,2023-04-05,2025-06-13,KYC_API
C5007,National ID,ID-5007-2,2026-02-28,2026-10-06,In-branch
C5008,Passport,ID-5008-1,2023-04-05,2025-06-13,Manual
C5008,National ID,ID-5008-2,2026-02-28,2026-10-06,In-branch
C5009,State ID,ID-5009-1,2023-04-05,2025-06-13,Manual
C5009,Driver License,ID-5009-2,2026-02-28,2032-11-03,KYC_API
C5010,Passport,ID-5010-1,2023-04-05,2025-06-13,In-branch
C5010,Passport,ID-5010-2,2026-02-28,2032-11-03,KYC_API
C5011,Passport,ID-5011-1,2023-04-05,2025-06-13,In-branch
C5011,Driver License,ID-5011-2,2026-02-28,2032-11-03,Manual
C5012,Passport,ID-5012-1,2023-04-05,2025-06-13,Manual
C5012,Passport,ID-5012-2,2026-02-28,2032-11-03,In-branch
C5013,State ID,ID-5013-1,2023-04-05,2025-06-13,KYC_API
C5013,Driver License,ID-5013-2,2026-02-28,2032-11-03,Manual
C5014,State ID,ID-5014-1,2023-04-05,2025-06-13,In-branch
C5014,Passport,ID-5014-2,2026-02-28,2032-11-03,In-branch
C5015,National ID,ID-5015-1,2023-04-05,2025-06-13,In-branch
C5015,Passport,ID-5015-2,2026-02-28,2026-10-06,In-branch
C5016,Passport,ID-5016-1,2023-04-05,2025-06-13,In-branch
C5016,National ID,ID-5016-2,2026-02-28,2032-11-03,KYC_API
C5017,Passport,ID-5017-1,2023-04-05,2025-06-13,KYC_API
C5017,National ID,ID-5017-2,2026-02-28,2026-10-06,In-branch
C5018,National ID,ID-5018-1,2023-04-05,2025-06-13,KYC_API
C5018,National ID,ID-5018-2,2026-02-28,2032-11-03,In-branch
C5019,Passport,ID-5019-1,2023-04-05,2025-06-13,Manual
C5019,National ID,ID-5019-2,2026-02-28,2026-10-06,Manual
C5020,Passport,ID-5020-1,2023-04-05,2025-06-13,In-branch
C5020,Passport,ID-5020-2,2026-02-28,2032-11-03,KYC_API
C5021,Passport,ID-5021-1,2023-04-05,2025-06-13,In-branch
C5021,Passport,ID-5021-2,2026-02-28,2026-10-06,Manual
C5022,Passport,ID-5022-1,2023-04-05,2025-06-13,In-branch
C5022,Passport,ID-5022-2,2026-02-28,2032-11-03,KYC_API
C5023,National ID,ID-5023-1,2023-04-05,2025-06-13,In-branch
C5023,Passport,ID-5023-2,2026-02-28,2032-11-03,In-branch
C5024,State ID,ID-5024-1,2023-04-05,2025-06-13,In-branch
C5024,Passport,ID-5024-2,2026-02-28,2032-11-03,KYC_API
C5025,National ID,ID-5025-1,2023-04-05,2025-06-13,KYC_API
C5025,Passport,ID-5025-2,2026-02-28,2032-11-03,Manual
C5026,National ID,ID-5026-1,2023-04-05,2025-06-13,In-branch
C5026,National ID,ID-5026-2,2026-02-28,2026-10-06,KYC_API
C5027,National ID,ID-5027-1,2023-04-05,2025-06-13,KYC_API
C5027,Passport,ID-5027-2,2026-02-28,2026-10-06,In-branch
C5028,Driver License,ID-5028-1,2023-04-05,2025-06-13,In-branch
C5028,Passport,ID-5028-2,2026-02-28,2032-11-03,Manual
C5029,Passport,ID-5029-1,2023-04-05,2025-06-13,Manual
C5029,Passport,ID-5029-2,2026-02-28,2032-11-03,In-branch
C5030,Passport,ID-5030-1,2023-04-05,2025-06-13,KYC_API
C5030,Passport,ID-5030-2,2026-02-28,2032-11-03,In-branch
C5031,Passport,ID-5031-1,2026-01-09,2033-02-11,KYC_API
C5032,Passport,ID-5032-1,2026-01-09,2033-02-11,Manual
C5033,State ID,ID-5033-1,2026-01-09,2033-02-11,In-branch
C5034,National ID,ID-5034-1,2026-01-09,2033-02-11,In-branch
C5035,Driver License,ID-5035-1,2026-01-09,2033-02-11,Manual
C5036,Passport,ID-5036-1,2026-01-09,2033-02-11,In-branch
C5037,State ID,ID-5037-1,2026-01-09,2033-02-11,KYC_API
C5038,National ID,ID-5038-1,2026-01-09,2033-02-11,Manual
C5039,Passport,ID-5039-1,2026-01-09,2033-02-11,KYC_API
C5040,National ID,ID-5040-1,2026-01-09,2033-02-11,In-branch
C5041,National ID,ID-5041-1,2026-01-09,2033-02-11,KYC_API
C5042,Passport,ID-5042-1,2026-01-09,2033-02-11,Manual
C5043,Passport,ID-5043-1,2026-01-09,2033-02-11,KYC_API
C5044,Passport,ID-5044-1,2026-01-09,2033-02-11,In-branch
C5045,Passport,ID-5045-1,2026-01-09,2033-02-11,Manual
C5046,State ID,ID-5046-1,2026-01-09,2033-02-11,In-branch
C5047,Passport,ID-5047-1,2026-01-09,2033-02-11,Manual
C5048,Driver License,ID-5048-1,2026-01-09,2033-02-11,In-branch
C5049,Driver License,ID-5049-1,2026-01-09,2033-02-11,In-branch
C5050,Passport,ID-5050-1,2026-01-09,2033-02-11,In-branch
C5051,Passport,ID-5051-1,2026-01-09,2033-02-11,In-branch
C5052,Driver License,ID-5052-1,2026-01-09,2033-02-11,In-branch
C5053,National ID,ID-5053-1,2026-01-09,2033-02-11,KYC_API
C5054,Driver License,ID-5054-1,2026-01-09,2033-02-11,In-branch
C5055,Passport,ID-5055-1,2026-01-09,2033-02-11,Manual
C5056,State ID,ID-5056-1,2026-01-09,2033-02-11,KYC_API
C5057,National ID,ID-5057-1,2026-01-09,2033-02-11,In-branch
C5058,Driver License,ID-5058-1,2026-01-09,2033-02-11,KYC_API
C5059,National ID,ID-5059-1,2026-01-09,2033-02-11,KYC_API
C5060,National ID,ID-5060-1,2026-01-09,2033-02-11,KYC_API
C5061,National ID,ID-5061-1,2026-01-09,2033-02-11,Manual
C5062,Passport,ID-5062-1,2026-01-09,2033-02-11,KYC_API
C5063,Passport,ID-5063-1,2026-01-09,2033-02-11,Manual
C5064,Passport,ID-5064-1,2026-01-09,2033-02-11,KYC_API
C5065,Passport,ID-5065-1,2026-01-09,2033-02-11,KYC_API
C5066,Driver License,ID-5066-1,2026-01-09,2033-02-11,In-branch
C5067,Passport,ID-5067-1,2026-01-09,2033-02-11,In-branch
C5068,Driver License,ID-5068-1,2026-01-09,2033-02-11,In-branch
C5069,National ID,ID-5069-1,2026-01-09,2033-02-11,KYC_API
C5070,State ID,ID-5070-1,2026-01-09,2033-02-11,In-branch
C5071,State ID,ID-5071-1,2026-01-09,2033-02-11,Manual
C5072,State ID,ID-5072-1,2026-01-09,2033-02-11,Manual
C5073,Passport,ID-5073-1,2026-01-09,2033-02-11,In-branch
C5074,Passport,ID-5074-1,2026-01-09,2033-02-11,Manual
C5075,National ID,ID-5075-1,2026-01-09,2033-02-11,In-branch
C5076,Passport,ID-5076-1,2026-01-09,2033-02-11,KYC_API
C5077,Passport,ID-5077-1,2026-01-09,2033-02-11,In-branch
C5078,Driver License,ID-5078-1,2026-01-09,2033-02-11,Manual
C5079,Passport,ID-5079-1,2026-01-09,2033-02-11,KYC_API
C5080,National ID,ID-5080-1,2026-01-09,2033-02-11,In-branch
C5081,State ID,ID-5081-1,2026-01-09,2033-02-11,In-branch
C5082,National ID,ID-5082-1,2026-01-09,2033-02-11,Manual
C5083,National ID,ID-5083-1,2026-01-09,2033-02-11,KYC_API
C5084,State ID,ID-5084-1,2026-01-09,2033-02-11,KYC_API
C5085,State ID,ID-5085-1,2026-01-09,2033-02-11,KYC_API
C5086,National ID,ID-5086-1,2026-01-09,2033-02-11,In-branch
C5087,Passport,ID-5087-1,2026-01-09,2033-02-11,Manual
C5088,Passport,ID-5088-1,2026-01-09,2033-02-11,Manual
C5089,Passport,ID-5089-1,2026-01-09,2033-02-11,KYC_API
C5090,Driver License,ID-5090-1,2026-01-09,2033-02-11,Manual
C5091,Passport,ID-5091-1,2026-01-09,2033-02-11,Manual
C5092,State ID,ID-5092-1,2026-01-09,2033-02-11,KYC_API
C5093,Passport,ID-5093-1,2026-01-09,2033-02-11,In-branch
C5094,Passport,ID-5094-1,2026-01-09,2033-02-11,In-branch
C5095,State ID,ID-5095-1,2026-01-09,2033-02-11,Manual
C5096,Passport,ID-5096-1,2026-01-09,2033-02-11,Manual
C5097,Passport,ID-5097-1,2026-01-09,2033-02-11,In-branch
C5098,Passport,ID-5098-1,2026-01-09,2033-02-11,KYC_API
C5099,State ID,ID-5099-1,2026-01-09,2033-02-11,In-branch
C5100,National ID,ID-5100-1,2026-01-09,2033-02-11,Manual
C5101,National ID,ID-5101-1,2026-01-09,2033-02-11,In-branch
C5102,State ID,ID-5102-1,2026-01-09,2033-02-11,In-branch
C5103,Passport,ID-5103-1,2026-01-09,2033-02-11,KYC_API
C5104,National ID,ID-5104-1,2026-01-09,2033-02-11,KYC_API
C5105,Passport,ID-5105-1,2026-01-09,2033-02-11,In-branch
C5106,National ID,ID-5106-1,2026-01-09,2033-02-11,In-branch
C5107,Passport,ID-5107-1,2026-01-09,2033-02-11,KYC_API
C5108,Passport,ID-5108-1,2026-01-09,2033-02-11,Manual
C5109,National ID,ID-5109-1,2026-01-09,2033-02-11,In-branch
C5110,Driver License,ID-5110-1,2026-01-09,2033-02-11,KYC_API
C5111,National ID,ID-5111-1,2026-01-09,2033-02-11,Manual
C5112,Passport,ID-5112-1,2026-01-09,2033-02-11,Manual
C5113,Passport,ID-5113-1,2026-01-09,2033-02-11,Manual
C5114,Passport,ID-5114-1,2026-01-09,2033-02-11,Manual
C5115,Driver License,ID-5115-1,2026-01-09,2033-02-11,Manual
C5116,Passport,ID-5116-1,2026-01-09,2033-02-11,Manual
C5117,Passport,ID-5117-1,2026-01-09,2033-02-11,KYC_API
C5118,Passport,ID-5118-1,2026-01-09,2033-02-11,KYC_API
C5119,Passport,ID-5119-1,2026-01-09,2033-02-11,KYC_API
C5120,Passport,ID-5120-1,2026-01-09,2033-02-11,KYC_API
C5121,National ID,ID-5121-1,2026-01-09,2033-02-11,Manual
C5122,Passport,ID-5122-1,2026-01-09,2033-02-11,Manual
C5123,State ID,ID-5123-1,2026-01-09,2033-02-11,In-branch
C5124,Passport,ID-5124-1,2026-01-09,2033-02-11,Manual
C5125,Passport,ID-5125-1,2026-01-09,2033-02-11,Manual
C5126,State ID,ID-5126-1,2026-01-09,2033-02-11,Manual
C5127,Passport,ID-5127-1,2026-01-09,2033-02-11,In-branch
C5128,National ID,ID-5128-1,2026-01-09,2033-02-11,Manual
C5129,Passport,ID-5129-1,2026-01-09,2033-02-11,KYC_API
C5130,National ID,ID-5130-1,2026-01-09,2033-02-11,Manual
C5131,National ID,ID-5131-1,2026-01-09,2033-02-11,In-branch
C5132,Passport,ID-5132-1,2026-01-09,2033-02-11,In-branch
C5133,Passport,ID-5133-1,2026-01-09,2033-02-11,In-branch
C5134,National ID,ID-5134-1,2026-01-09,2033-02-11,In-branch
C5135,State ID,ID-5135-1,2026-01-09,2033-02-11,Manual
C5136,State ID,ID-5136-1,2026-01-09,2033-02-11,In-branch
C5137,Passport,ID-5137-1,2026-01-09,2033-02-11,KYC_API
C5138,Passport,ID-5138-1,2026-01-09,2033-02-11,Manual
C5139,Passport,ID-5139-1,2026-01-09,2033-02-11,Manual
C5140,National ID,ID-5140-1,2026-01-09,2033-02-11,Manual
C5141,Passport,ID-5141-1,2026-01-09,2033-02-11,Manual
C5142,Passport,ID-5142-1,2026-01-09,2033-02-11,In-branch
C5143,Passport,ID-5143-1,2026-01-09,2033-02-11,In-branch
C5144,National ID,ID-5144-1,2026-01-09,2033-02-11,In-branch
C5145,State ID,ID-5145-1,2026-01-09,2033-02-11,Manual
C5146,Passport,ID-5146-1,2026-01-09,2033-02-11,KYC_API
C5147,National ID,ID-5147-1,2026-01-09,2033-02-11,KYC_API
C5148,Passport,ID-5148-1,2026-01-09,2033-02-11,Manual
C5149,National ID,ID-5149-1,2026-01-09,2033-02-11,KYC_API
C5150,National ID,ID-5150-1,2026-01-09,2033-02-11,In-branch
C5151,Driver License,ID-5151-1,2026-01-09,2033-02-11,KYC_API
C5152,Passport,ID-5152-1,2026-01-09,2033-02-11,Manual
C5153,Passport,ID-5153-1,2026-01-09,2033-02-11,KYC_API
C5154,Passport,ID-5154-1,2026-01-09,2033-02-11,Manual
C5155,Passport,ID-5155-1,2026-01-09,2033-02-11,Manual
C5156,Passport,ID-5156-1,2026-01-09,2033-02-11,Manual
C5157,National ID,ID-5157-1,2026-01-09,2033-02-11,Manual
C5158,Passport,ID-5158-1,2026-01-09,2033-02-11,Manual
C5159,Passport,ID-5159-1,2026-01-09,2033-02-11,Manual
C5160,Driver License,ID-5160-1,2026-01-09,2033-02-11,In-branch
C5161,State ID,ID-5161-1,2026-01-09,2033-02-11,KYC_API
C5162,Passport,ID-5162-1,2026-01-09,2033-02-11,Manual
C5163,Passport,ID-5163-1,2026-01-09,2033-02-11,In-branch
C5164,National ID,ID-5164-1,2026-01-09,2033-02-11,KYC_API
C5165,National ID,ID-5165-1,2026-01-09,2033-02-11,Manual
C5166,National ID,ID-5166-1,2026-01-09,2033-02-11,Manual
C5167,National ID,ID-5167-1,2026-01-09,2033-02-11,Manual
C5168,Driver License,ID-5168-1,2026-01-09,2033-02-11,In-branch
C5169,National ID,ID-5169-1,2026-01-09,2033-02-11,In-branch
C5170,Passport,ID-5170-1,2026-01-09,2033-02-11,KYC_API
C5171,Passport,ID-5171-1,2026-01-09,2033-02-11,KYC_API
C5172,National ID,ID-5172-1,2026-01-09,2033-02-11,Manual
C5173,Passport,ID-5173-1,2026-01-09,2033-02-11,Manual
C5174,Passport,ID-5174-1,2026-01-09,2033-02-11,Manual
C5175,Passport,ID-5175-1,2026-01-09,2033-02-11,KYC_API
C5176,Passport,ID-5176-1,2026-01-09,2033-02-11,KYC_API
C5177,Passport,ID-5177-1,2026-01-09,2033-02-11,KYC_API
C5178,National ID,ID-5178-1,2026-01-09,2033-02-11,In-branch
C5179,Passport,ID-5179-1,2026-01-09,2033-02-11,In-branch
C5180,State ID,ID-5180-1,2026-01-09,2033-02-11,In-branch
C5181,Passport,ID-5181-1,2026-01-09,2033-02-11,KYC_API
C5182,Passport,ID-5182-1,2026-01-09,2033-02-11,Manual
C5183,Passport,ID-5183-1,2026-01-09,2033-02-11,Manual
C5184,Passport,ID-5184-1,2026-01-09,2033-02-11,In-branch
C5185,National ID,ID-5185-1,2026-01-09,2033-02-11,KYC_API
C5186,National ID,ID-5186-1,2026-01-09,2033-02-11,Manual
C5187,Passport,ID-5187-1,2026-01-09,2033-02-11,KYC_API
C5188,Passport,ID-5188-1,2026-01-09,2033-02-11,In-branch
C5189,Driver License,ID-5189-1,2026-01-09,2033-02-11,Manual
C5190,State ID,ID-5190-1,2026-01-09,2033-02-11,KYC_API
C5191,State ID,ID-5191-1,2026-01-09,2033-02-11,In-branch
C5192,Passport,ID-5192-1,2026-01-09,2033-02-11,KYC_API
C5193,National ID,ID-5193-1,2026-01-09,2033-02-11,Manual
C5194,Driver License,ID-5194-1,2026-01-09,2033-02-11,KYC_API
C5195,Passport,ID-5195-1,2026-01-09,2033-02-11,In-branch
C5196,Passport,ID-5196-1,2026-01-09,2033-02-11,Manual
C5197,State ID,ID-5197-1,2026-01-09,2033-02-11,KYC_API
C5198,Passport,ID-5198-1,2026-01-09,2033-02-11,KYC_API
C5199,Driver License,ID-5199-1,2026-01-09,2033-02-11,In-branch
C5200,National ID,ID-5200-1,2026-01-09,2033-02-11,KYC_API
C5201,National ID,ID-5201-1,2026-01-09,2033-02-11,In-branch
C5202,Passport,ID-5202-1,2026-01-09,2033-02-11,In-branch
C5203,National ID,ID-5203-1,2026-01-09,2033-02-11,In-branch
C5204,National ID,ID-5204-1,2026-01-09,2033-02-11,In-branch
C5205,Passport,ID-5205-1,2026-01-09,2033-02-11,In-branch
C5206,Passport,ID-5206-1,2026-01-09,2033-02-11,KYC_API
C5207,State ID,ID-5207-1,2026-01-09,2033-02-11,KYC_API
C5208,Passport,ID-5208-1,2026-01-09,2033-02-11,In-branch
C5209,National ID,ID-5209-1,2026-01-09,2033-02-11,KYC_API
C5210,Passport,ID-5210-1,2026-01-09,2033-02-11,KYC_API
C5211,National ID,ID-5211-1,2026-01-09,2033-02-11,KYC_API
C5212,State ID,ID-5212-1,2026-01-09,2033-02-11,In-branch
C5213,Passport,ID-5213-1,2026-01-09,2033-02-11,KYC_API
C5214,State ID,ID-5214-1,2026-01-09,2033-02-11,Manual
C5215,Passport,ID-5215-1,2026-01-09,2033-02-11,In-branch
C5216,Passport,ID-5216-1,2026-01-09,2033-02-11,KYC_API
C5217,National ID,ID-5217-1,2026-01-09,2033-02-11,Manual
C5218,Passport,ID-5218-1,2026-01-09,2033-02-11,In-branch
C5219,Passport,ID-5219-1,2026-01-09,2033-02-11,Manual
C5220,Passport,ID-5220-1,2026-01-09,2033-02-11,Manual
C5221,Driver License,ID-5221-1,2026-01-09,2033-02-11,KYC_API
C5222,Passport,ID-5222-1,2026-01-09,2033-02-11,In-branch
C5223,State ID,ID-5223-1,2026-01-09,2033-02-11,In-branch
C5224,Passport,ID-5224-1,2026-01-09,2033-02-11,In-branch
C5225,National ID,ID-5225-1,2026-01-09,2033-02-11,Manual
C5226,State ID,ID-5226-1,2026-01-09,2033-02-11,Manual
C5227,National ID,ID-5227-1,2026-01-09,2033-02-11,In-branch
C5228,Passport,ID-5228-1,2026-01-09,2033-02-11,Manual
C5229,Passport,ID-5229-1,2026-01-09,2033-02-11,In-branch
C5230,National ID,ID-5230-1,2026-01-09,2033-02-11,Manual
C5231,National ID,ID-5231-1,2026-01-09,2033-02-11,Manual
C5232,Passport,ID-5232-1,2026-01-09,2033-02-11,Manual
C5233,Passport,ID-5233-1,2026-01-09,2033-02-11,Manual
C5234,Passport,ID-5234-1,2026-01-09,2033-02-11,In-branch
C5235,Passport,ID-5235-1,2026-01-09,2033-02-11,In-branch
C5236,Passport,ID-5236-1,2026-01-09,2033-02-11,KYC_API
C5237,National ID,ID-5237-1,2026-01-09,2033-02-11,Manual
C5238,National ID,ID-5238-1,2026-01-09,2033-02-11,KYC_API
C5239,National ID,ID-5239-1,2026-01-09,2033-02-11,Manual
C5240,Passport,ID-5240-1,2026-01-09,2033-02-11,Manual
C5241,Passport,ID-5241-1,2026-01-09,2033-02-11,In-branch
C5242,Passport,ID-5242-1,2026-01-09,2033-02-11,KYC_API
C5243,Passport,ID-5243-1,2026-01-09,2033-02-11,KYC_API
C5244,Passport,ID-5244-1,2026-01-09,2033-02-11,Manual
